<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
OTP,0,20140129,090005,4300,15480
OTP,0,20140129,090206,4319,10
OTP,0,20140129,090211,4319,1941
OTP,0,20140129,090211,4320,1000
OTP,0,20140129,090211,4320,50
OTP,0,20140129,090211,4320,9
OTP,0,20140129,090223,4319,700
OTP,0,20140129,090227,4319,255
OTP,0,20140129,090231,4324,562
OTP,0,20140129,090235,4324,14
OTP,0,20140129,090237,4324,60
OTP,0,20140129,090242,4320,500
OTP,0,20140129,090246,4324,561
OTP,0,20140129,090250,4324,150
OTP,0,20140129,090253,4324,452
OTP,0,20140129,090255,4320,500
OTP,0,20140129,090302,4315,1
OTP,0,20140129,090317,4320,822
OTP,0,20140129,090317,4322,678
OTP,0,20140129,090320,4322,22
OTP,0,20140129,090320,4323,273
OTP,0,20140129,090320,4324,423
OTP,0,20140129,090324,4324,702
OTP,0,20140129,090324,4327,150
OTP,0,20140129,090324,4328,123
OTP,0,20140129,090324,4329,1227
OTP,0,20140129,090325,4329,213
OTP,0,20140129,090325,4330,1287
OTP,0,20140129,090326,4324,772
OTP,0,20140129,090326,4330,6728
OTP,0,20140129,090328,4322,772
OTP,0,20140129,090328,4324,728
OTP,0,20140129,090328,4324,44
OTP,0,20140129,090328,4330,1456
OTP,0,20140129,090329,4320,200
OTP,0,20140129,090330,4330,781
OTP,0,20140129,090337,4330,2248
OTP,0,20140129,090337,4330,772
OTP,0,20140129,090341,4332,20
OTP,0,20140129,090341,4333,350
OTP,0,20140129,090341,4334,490
OTP,0,20140129,090343,4330,1500
OTP,0,20140129,090344,4335,25
OTP,0,20140129,090345,4330,1500
OTP,0,20140129,090346,4338,463
OTP,0,20140129,090346,4338,19
OTP,0,20140129,090352,4330,1000
OTP,0,20140129,090357,4335,1886
OTP,0,20140129,090358,4330,700
OTP,0,20140129,090358,4335,304
OTP,0,20140129,090358,4339,23
OTP,0,20140129,090358,4340,173
OTP,0,20140129,090406,4339,699
OTP,0,20140129,090412,4330,50
OTP,0,20140129,090417,4339,200
OTP,0,20140129,090417,4339,729
OTP,0,20140129,090423,4339,1094
OTP,0,20140129,090423,4340,467
OTP,0,20140129,090425,4340,100
OTP,0,20140129,090426,4340,1000
OTP,0,20140129,090428,4342,20
OTP,0,20140129,090428,4344,629
OTP,0,20140129,090429,4340,510
OTP,0,20140129,090432,4340,200
OTP,0,20140129,090434,4339,26
OTP,0,20140129,090457,4335,150
OTP,0,20140129,090505,4338,500
OTP,0,20140129,090508,4335,1500
OTP,0,20140129,090508,4338,200
OTP,0,20140129,090512,4338,734
OTP,0,20140129,090516,4338,90
OTP,0,20140129,090516,4339,281
OTP,0,20140129,090523,4337,500
OTP,0,20140129,090523,4339,195
OTP,0,20140129,090534,4335,850
OTP,0,20140129,090534,4332,30
OTP,0,20140129,090534,4331,2500
OTP,0,20140129,090534,4330,2568
OTP,0,20140129,090536,4337,698
OTP,0,20140129,090537,4330,1000
OTP,0,20140129,090538,4337,74
OTP,0,20140129,090538,4338,492
OTP,0,20140129,090540,4330,250
OTP,0,20140129,090540,4337,528
OTP,0,20140129,090540,4338,172
OTP,0,20140129,090541,4338,128
OTP,0,20140129,090541,4339,1456
OTP,0,20140129,090545,4330,750
OTP,0,20140129,090548,4330,750
